нули,время,давление
0,0,5.16113e+06
0,2000,5.16239e+06
0,4000,5.16365e+06
0,6000,5.1649e+06
0,8000,5.16616e+06
0,10000,5.16742e+06
0,12000,5.16867e+06
0,14000,5.16993e+06
0,16000,5.17119e+06
0,18000,5.17245e+06
0,20000,5.1737e+06
0,22000,5.17496e+06
0,24000,5.17622e+06
0,26000,5.17748e+06
0,28000,5.17873e+06
0,30000,5.17999e+06
0,32000,5.18125e+06
0,34000,5.18251e+06
0,36000,5.18376e+06
0,38000,5.18502e+06
0,40000,5.18628e+06
0,42000,5.18753e+06
0,44000,5.18879e+06
0,46000,5.19005e+06
0,48000,5.19131e+06
0,50000,5.19256e+06
0,52000,5.19382e+06
0,54000,5.19508e+06
0,56000,5.19634e+06
0,58000,5.19759e+06
0,60000,5.19885e+06
0,62000,5.20011e+06
0,64000,5.20137e+06
0,66000,5.20262e+06
0,68000,5.20388e+06
0,70000,5.20514e+06
0,72000,5.20639e+06
0,74000,5.20765e+06
0,76000,5.20891e+06
0,78000,5.21017e+06
0,80000,5.21142e+06
0,82000,5.21268e+06
0,84000,5.21394e+06
0,86000,5.2152e+06
0,88000,5.21645e+06
0,90000,5.21771e+06
0,92000,5.21897e+06
0,94000,5.22023e+06
0,96000,5.22148e+06
0,98000,5.22274e+06
0,100000,5.224e+06
0,102000,5.22525e+06
0,104000,5.22651e+06
0,106000,5.22777e+06
0,108000,5.22903e+06
0,110000,5.23028e+06
0,112000,5.23154e+06
0,114000,5.2328e+06
0,116000,5.23406e+06
0,118000,5.23531e+06
0,120000,5.23657e+06
0,122000,5.23783e+06
0,124000,5.23909e+06
0,126000,5.24034e+06
0,128000,5.2416e+06
0,130000,5.24286e+06
0,132000,5.24411e+06
0,134000,5.24537e+06
0,136000,5.24663e+06
0,138000,5.24789e+06
0,140000,5.24914e+06
0,142000,5.2504e+06
0,144000,5.25166e+06
0,146000,5.25292e+06
0,148000,5.25417e+06
0,150000,5.25543e+06
0,152000,5.25669e+06
0,154000,5.25795e+06
0,156000,5.2592e+06
0,158000,5.26046e+06
0,160000,5.26172e+06
0,162000,5.26297e+06
0,164000,5.26423e+06
0,166000,5.26549e+06
0,168000,5.26675e+06
0,170000,5.268e+06
0,172000,5.26926e+06
0,174000,5.27052e+06
0,176000,5.27178e+06
0,178000,5.27303e+06
0,180000,5.27429e+06
0,182000,5.27555e+06
0,184000,5.27681e+06
0,186000,5.27806e+06
0,188000,5.27932e+06
0,190000,5.28058e+06
0,192000,5.28183e+06
0,194000,5.28309e+06
0,196000,5.28435e+06
0,198000,5.28561e+06
0,200000,5.28686e+06
0,202000,5.28686e+06
